source,target,date
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1968,https://dati.cortecostituzionale.it/ontology/Pronuncia/77/1967,1968-03-11
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1964,1969-01-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/12/1957,1969-01-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/6/1969,1969-01-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/62/1965,1969-01-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1999,https://dati.cortecostituzionale.it/ontology/Pronuncia/431/1997,1999-01-18
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1999,https://dati.cortecostituzionale.it/ontology/Pronuncia/86/1985,1999-01-18
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/111/1997,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/116/2013,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/139/1984,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/142/2014,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/143/1995,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/155/1963,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/159/1985,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/201/2014,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1996,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/2005,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/213/2008,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/22/2012,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/223/2012,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/258/2002,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/260/1990,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/34/1961,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/341/2000,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/50/1989,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/7/2014,2015-02-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1957,https://dati.cortecostituzionale.it/ontology/Pronuncia/41/1957,1957-06-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1961,1964-12-03
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/45/1963,1964-12-03
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/79/1961,1964-12-03
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,https://dati.cortecostituzionale.it/ontology/Pronuncia/91/1964,1964-12-03
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1969,https://dati.cortecostituzionale.it/ontology/Pronuncia/21/1961,1969-05-22
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1991,https://dati.cortecostituzionale.it/ontology/Pronuncia/221/1986,1991-02-25
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1996,https://dati.cortecostituzionale.it/ontology/Pronuncia/14/1995,1996-03-25
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1996,https://dati.cortecostituzionale.it/ontology/Pronuncia/410/1995,1996-03-25
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/2007,https://dati.cortecostituzionale.it/ontology/Pronuncia/156/2001,2007-03-07
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/376/1989,2015-05-13
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/2015,https://dati.cortecostituzionale.it/ontology/Pronuncia/80/2014,2015-05-13
https://dati.cortecostituzionale.it/ontology/Pronuncia/1006/1988,https://dati.cortecostituzionale.it/ontology/Pronuncia/367/1985,1988-10-12
https://dati.cortecostituzionale.it/ontology/Pronuncia/1006/1988,https://dati.cortecostituzionale.it/ontology/Pronuncia/400/1987,1988-10-12
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/1962,https://dati.cortecostituzionale.it/ontology/Pronuncia/87/1962,1962-11-15
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/107/2021,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/11/1995,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/115/2010,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/167/2018,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/236/2017,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/26/1982,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/269/2017,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/37/1997,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/52/2022,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/82/2021,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/101/2022,https://dati.cortecostituzionale.it/ontology/Pronuncia/89/2018,2022-03-09
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1962,https://dati.cortecostituzionale.it/ontology/Pronuncia/65/1962,1962-11-15
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1973,https://dati.cortecostituzionale.it/ontology/Pronuncia/144/1972,1973-06-14
